[609,] #SUP0.022219698690286924
[612,] #SUP0.036944507532742824
[615,] #SUP0.02751911575440987
[624,] #SUP0.0392913922325687
[629,] #SUP0.02293890529184647
[632,] #SUP0.027178438943144825
[635,] #SUP0.028881822999470057
[639,] #SUP0.03910212733742145
[640,] #SUP0.0550003785297903
[641,] #SUP0.03043379513967749
[642,] #SUP0.020516314633961693
[643,] #SUP0.02365811189340601
[646,] #SUP0.029298205768794005
[650,] #SUP0.021500492088727383
[652,] #SUP0.03353773942009236
[656,] #SUP0.020932697403285638
[658,] #SUP0.03614959497312439
[659,] #SUP0.03421909304262245
[662,] #SUP0.029373911726852903
[664,] #SUP0.031342266636384286
[666,] #SUP0.026383526383526385
[672,] #SUP0.02350669997728821
[674,] #SUP0.02274964039669922
[675,] #SUP0.047240517828753124
[676,] #SUP0.052691346808993865
[677,] #SUP0.04387160269513211
[683,] #SUP0.09470815353168294
[685,] #SUP0.05746082216670452
[687,] #SUP0.024566583390112803
[688,] #SUP0.04814898932545991
[691,] #SUP0.027935498523733816
[693,] #SUP0.09391324097206451
[695,] #SUP0.052691346808993865
[698,] #SUP0.023014611249905368
[707,] #SUP0.024377318494965553
[708,] #SUP0.036982360511772276
[711,] #SUP0.020251343780755545
[713,] #SUP0.03047164811870694
[719,] #SUP0.022863199333787568
[721,] #SUP0.0897115602997956
[723,] #SUP0.0939889469301234
[726,] #SUP0.022863199333787568
[737,] #SUP0.031228707699295935
[739,] #SUP0.0444772503596033
[745,] #SUP0.029298205768794005
[747,] #SUP0.022598228480581423
[750,] #SUP0.023998788704671058
[751,] #SUP0.02081913846619729
[753,] #SUP0.039329245211598154
[754,] #SUP0.022257551669316374
[763,] #SUP0.028881822999470057
[764,] #SUP0.05348625936861231
[766,] #SUP0.030963736846089787
[767,] #SUP0.13267469149822092
[770,] #SUP0.02589143765614354
[772,] #SUP0.02483155424331895
[775,] #SUP0.021689756983874632
[776,] #SUP0.06968733439321674
[778,] #SUP0.037171625406919526
[779,] #SUP0.05503823150881974
[780,] #SUP0.02854114618820501
[781,] #SUP0.03671738965856613
[783,] #SUP0.052691346808993865
[784,] #SUP0.022863199333787568
[785,] #SUP0.02252252252252252
[786,] #SUP0.029298205768794005
[789,] #SUP0.03785297902944962
[790,] #SUP0.069119539707775
[793,] #SUP0.024301612536906655
[796,] #SUP0.04334166098871981
[798,] #SUP0.05235066999772882
[799,] #SUP0.047808312514194866
[801,] #SUP0.07120145355439474
[804,] #SUP0.03853433265197971
[810,] #SUP0.028995381936558408
[813,] #SUP0.033310621545915665
[815,] #SUP0.023203876145052614
[816,] #SUP0.02763267469149822
[821,] #SUP0.021235521235521235
[825,] #SUP0.028427587251116663
[826,] #SUP0.05151790445908093
[827,] #SUP0.05322128851540616
[830,] #SUP0.10027254144901204
[833,] #SUP0.04031342266636384
[834,] #SUP0.02986600045423575
[835,] #SUP0.023620258914376562
[842,] #SUP0.033197062608827314
[844,] #SUP0.030509501097736393
[845,] #SUP0.05481111363464305
[855,] #SUP0.05435687788628965
[856,] #SUP0.031607237489590434
[860,] #SUP0.023468846998258762
[863,] #SUP0.03845862669392081
[868,] #SUP0.04334166098871981
[872,] #SUP0.02664849723673253
[875,] #SUP0.037171625406919526
[877,] #SUP0.02089484442425619
[879,] #SUP0.05999697176167764
[884,] #SUP0.05727155727155727
[886,] #SUP0.0694980694980695
[887,] #SUP0.03524112347641759
[888,] #SUP0.041676129911424026
[889,] #SUP0.04765690059807707
[890,] #SUP0.02282534635475812
[891,] #SUP0.034029828147475204
[894,] #SUP0.025172231054583997
[896,] #SUP0.04833825422060716
[898,] #SUP0.04659701718525248
[900,] #SUP0.024528730411083353
[901,] #SUP0.026875615110909228
[907,] #SUP0.033121356650768416
[912,] #SUP0.025475054886819594
[913,] #SUP0.04069195245665834
[914,] #SUP0.05689302748126278
[915,] #SUP0.07634945870239988
[919,] #SUP0.05643879173290938
[920,] #SUP0.07710651828298887
[922,] #SUP0.04372019077901431
[924,] #SUP0.027216291922174275
[938,] #SUP0.08815958815958816
[940,] #SUP0.029336058747823454
[941,] #SUP0.03062306003482474
[945,] #SUP0.06578847755318344
[947,] #SUP0.05182072829131653
[948,] #SUP0.05791505791505792
[950,] #SUP0.05159361041713983
[953,] #SUP0.06571277159512454
[957,] #SUP0.0700280112044818
[965,] #SUP0.031228707699295935
[967,] #SUP0.04273601332424862
[968,] #SUP0.036944507532742824
[973,] #SUP0.02558861382390794
[979,] #SUP0.023317435082140965
[982,] #SUP0.041297600121129534
[983,] #SUP0.04368233779998486
[985,] #SUP0.06942236354001059
[990,] #SUP0.02377167083049436
[993,] #SUP0.04182754182754183
[999,] #SUP0.024301612536906655
[73, 141] #SUP 0.024566583390112803
[73, 428] #SUP 0.02271178741766977
[73, 886] #SUP 0.021159815277462336
[94, 569] #SUP 0.02078128548716784
[94, 599] #SUP 0.02104625634037399
[133, 799] #SUP 0.02074343250813839
[133, 827] #SUP 0.02059202059202059
[152, 174] #SUP 0.021500492088727383
[152, 391] #SUP 0.023582405935347113
[152, 415] #SUP 0.02089484442425619
[152, 488] #SUP 0.02078128548716784
[155, 382] #SUP 0.020213490801726096
[169, 335] #SUP 0.020327049738814443
[169, 478] #SUP 0.020099931864637748
[169, 767] #SUP 0.023430994019229313
[174, 391] #SUP 0.028276175334998866
[174, 415] #SUP 0.020213490801726096
[205, 579] #SUP 0.02059202059202059
[296, 938] #SUP 0.021235521235521235
[335, 428] #SUP 0.025247937012642895
[335, 478] #SUP 0.02078128548716784
[335, 767] #SUP 0.024112347641759405
[369, 478] #SUP 0.026042849572261335
[369, 693] #SUP 0.023468846998258762
[369, 767] #SUP 0.02490726020137785
[369, 830] #SUP 0.02445302445302445
[382, 845] #SUP 0.020932697403285638
[382, 889] #SUP 0.020327049738814443
[391, 415] #SUP 0.0248694072223484
[391, 506] #SUP 0.021235521235521235
[391, 640] #SUP 0.02066772655007949
[391, 693] #SUP 0.02377167083049436
